business_id,stars,Alcohol,Ambience_casual,Ambience_classy,BestNights_friday,BestNights_saturday,BikeParking,BusinessAcceptsCreditCards,BusinessParking_lot,BusinessParking_street,Caters,DogsAllowed,DriveThru,GoodForKids,GoodForMeal_breakfast,GoodForMeal_brunch,GoodForMeal_lunch,GoodForMeal_dinner,HappyHour,HasTV,NoiseLevel,OutdoorSeating,RestaurantsDelivery,RestaurantsGoodForGroups,RestaurantsPriceRange2,RestaurantsReservations,RestaurantsTableService,RestaurantsTakeOut,WheelchairAccessible,WiFi
XjuqPaZGBL_9FdV200Vqag,4.5,0.0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0.0,1,1,0,0.0,0,0,1,0,0.0
gsscUrw2B2z2h8PBL0FkEg,3.5,1.0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0.33,1,1,1,0.33,1,1,1,0,0.0
uRRygx6SnLcc5IWsLa-BNQ,5.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,1,0,0.5,0,0,0,1,0.0
GrDpOCuTrrAM9csFSTJ5Jw,4.5,1.0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0.67,1,1,0,0.33,0,1,1,1,1.0
upgYrte1f2kR0VED3RQtIA,3.0,1.0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,0.33,0,1,1,0.33,1,0,1,0,1.0
jvRAirv1KsWU41bk9G1rcQ,4.0,0.5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0.33,1,1,1,0.5,0,0,1,0,0.0
ueJFblv3esW2xjqO7IepGg,3.5,1.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,1,0.67,1,0,0,0,1.0
JatuIx03NAAfBykG6VVJsQ,3.5,1.0,1,0,0,0,1,1,1,0,1,0,0,1,1,1,1,0,0,1,0.33,1,0,0,0.0,0,0,1,0,1.0
xFk-YQHQ7bkRdwEdWPlsUA,4.5,0.0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0.33,0,0,1,0.33,1,1,1,1,0.0
XTHUxyHgR7WEfdXgZIh3bA,3.5,0.0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,1,0.0,0,1,1,0.0,0,0,1,0,0.0
TF3qNGUBUgIYp6u0j79JHQ,4.0,1.0,1,1,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,0,0.33,1,0,1,0.33,0,1,1,1,0.0
-0iIxySkp97WNlwK66OGWg,3.5,0.0,1,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0.33,1,1,1,0.0,0,0,1,1,1.0
knQ4vIgx-r85kjlWVVjcpQ,4.5,0.0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0.5,0,0,0,1,0.0
h_6ioAoKNLi01kPhoGDArg,2.0,0.0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,1,0.67,1,1,1,0.0,0,0,0,0,1.0
Ul2yz_C9n-FOWxRdXaKeQg,5.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,1,0,0.5,0,0,0,0,0.0
3wLmMcYDXWkiAjLCFAxg3w,4.0,1.0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0.0,0,1,1,0.33,1,1,1,1,0.0
tXG-R0vRyPAUY1CfE52YAg,3.0,1.0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0.33,1,1,1,0.33,1,0,1,0,1.0
64i1xdiU1Wvo1Cuu0erFGA,3.5,0.0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,1,1,0.33,1,1,1,0.33,1,1,1,1,0.0
systIIztcah-H1_DLv2YGA,1.5,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0.0,0,0,0,0.33,0,0,1,0,1.0
2bizM-Ne7hrTLWPv6_4hZA,4.0,0.0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0.33,0,0,1,0.0,0,0,1,1,0.0
L7mbUPFMAfetY0fzuYtZ_g,3.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,1,0,0.0,0,0,1,0,1.0
QEASjhfyCwbyQD2f557StA,3.5,0.0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0.33,0,1,1,0.33,0,0,1,0,0.0
8e1awFq00VzziCZzVLrDDg,3.5,0.0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0.33,0,1,1,0.0,0,0,1,0,0.0
IjMs1n7UelI7ev_5IDl5kA,4.0,0.0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,1,0.33,0,1,1,0.33,0,1,1,1,0.0
fyxmwXdg9fJ13TpuF-KSbQ,3.0,1.0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0.33,1,1,1,0.33,0,1,1,1,1.0
moUDIoL76pQQqEMmbdx3mw,3.5,0.0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0.0,0,1,1,0.0,0,0,1,1,1.0
1-D_z1Z3P2xWXO1g49eRbg,2.5,0.0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,1,0.33,0,0,1,0.0,0,0,1,0,1.0
a0ndB5JL9ZMPaIb5SJPflg,3.5,0.0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,1,0,1,0.33,1,1,0,0.0,0,0,1,0,1.0
6rgbLCIlRU8cGd6ivzjWzw,2.5,0.0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0.33,0,1,0,0.0,0,0,1,0,0.0
WDXC3W5lDt2pK2qvw6ds3Q,3.0,0.0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,1,1,0,1,0.33,0,1,1,0.33,1,1,1,0,0.0
j1e3-hZkEX-mnxuujdKQig,3.0,0.0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,1,0.33,0,0,1,0.0,0,0,1,0,0.0
239tY1FTov3pnbZbx4pdwQ,3.0,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0.33,0,1,0,0.0,0,0,1,0,0.0
QBYy6D6ngZSnkXUStvpW4w,4.5,0.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0.33,0,0,0,0.5,0,0,1,0,0.0
Q4zdrVjYgSAERDNinDL4pQ,3.5,0.0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0.0,0,1,1,0.0,0,0,1,0,0.0
w0g9q4BC-OFdByt-AYePNQ,3.5,0.5,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,1,0,1,0.0,1,1,1,0.33,1,0,1,0,0.0
GoUSZEWLycD1fIYthTMylQ,3.5,0.0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,1,0,1,0.33,0,0,1,0.33,1,0,1,1,0.0
P6PtcdY3SrXf1GxVZTjQsg,3.5,0.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0.33,0,1,0,0.0,0,0,1,0,1.0
PuM8kMXHG9nd9Da_6f2nJw,3.0,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.33,0,1,0,0.0,0,0,1,0,0.0
9Nyi0mPWc-BE8SSQ0deg8w,1.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,1,0,0.5,0,0,0,0,0.0
uV3ryZ1m4wB18CtoeuOZGA,4.5,0.0,1,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0.67,0,0,0,0.0,0,0,1,0,0.0
UXNTU11-9x8SkZTfx8KIpQ,3.0,0.0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0.33,0,0,1,0.0,0,0,1,0,0.0
laJ4SjVAGgmUDfw62eFC_w,4.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0.0,0,1,1,0.33,1,0,1,0,0.0
bZcW_CPll-WaAgciSLPyrA,5.0,0.0,0,1,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0.0,1,1,1,0.0,0,0,1,1,1.0
0z1VO3Js0NdTOKLYDa15zw,4.0,0.0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0.0,0,0,1,0.33,0,0,1,0,0.0
dN_WiS41laKnG7MeVVOiBw,1.5,0.0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0.33,0,1,0,0.0,0,0,1,1,0.0
cQUNfooF0poRMkqAx6Dkdw,4.0,0.0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0.33,0,0,0,0.0,0,0,1,1,0.0
zwcWzqineLPY4qDhCJ2Jtw,2.0,1.0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,0.67,0,1,1,0.33,0,0,1,0,1.0
If4sbVOYXN2_Q_DanhSmkA,3.0,0.0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0.67,0,1,1,0.0,0,0,1,0,0.0
UESw8mPkk0MZQJNDe4ikDQ,4.0,0.5,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0.33,0,0,1,0.33,0,0,1,0,0.0
LpuMOJG8A8g_2ECFsrSwrw,2.5,0.5,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0.67,0,0,1,0.33,0,0,1,0,0.0
x73A12BrNcRTvctBZWpXyA,2.0,0.0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0.67,0,1,1,0.0,0,0,1,0,0.0
bUlmX5ehFcy7vzli2tbaMw,4.0,1.0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0.33,1,0,1,0.33,0,0,1,0,0.0
x2WLaFlWmF8RoC4ZRTUU6g,3.5,0.0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,1,0.33,0,0,1,0.0,0,0,1,0,0.0
skY6r8WAkYqpV7_TxNm23w,4.0,1.0,1,0,0,0,1,1,1,0,0,0,0,1,0,1,1,1,1,1,0.33,1,0,1,0.33,0,1,1,0,0.0
LOzj0BsudeOeqoN5d0wLVA,4.0,0.5,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0.33,1,1,1,0.33,0,0,1,0,1.0
UVHHGDqvZZHRC9nO-kH9wg,3.0,1.0,1,0,1,0,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0.33,1,0,1,0.33,0,1,1,1,1.0
-dlU_Vr-5-szuLZteMWy6A,3.5,0.0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0.33,0,1,0,0.33,0,0,1,0,0.0
r-GR0lgJPRKe94KOV5FaZw,4.5,0.0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0.33,0,0,0,0.5,0,0,1,1,1.0
AFIkxCPqO7613NHEIL8abQ,4.5,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.33,0,1,1,0.0,0,0,1,0,0.0
s3Qujh-5a13EfBVZBqQJdg,1.5,0.0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0.33,0,1,1,0.5,0,0,1,0,0.0
k2781O41asaIsK7vkf3asg,4.5,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0.33,0,1,0,0.5,0,0,1,0,1.0
zCRJdX7LsTJre965Vsq9zA,4.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,1,0,0.5,0,0,1,0,0.0
pb1oZS_fVHwBkw3ysqF9pQ,4.5,0.0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0.33,1,1,0,0.5,0,0,1,0,1.0
Tozj3jTcnclmQKlNViY7SA,3.5,1.0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0.0,0,0,1,1.0,1,1,0,1,1.0
Tbc0uyY1O-Fc18FfTCDqIA,3.5,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0.33,0,1,0,0.0,0,0,1,0,0.0
QIa_vXgxCVaGZfCfFzjzog,4.0,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.33,0,1,0,0.5,1,1,1,1,1.0
wP9W_KYu7qASDfkVZDP87Q,3.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0.5,0,0,0,0,0.0
ou24typ9w08S_WS8piWa1A,4.5,0.0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0.33,0,0,1,0.0,0,0,1,1,1.0
J3heme4rT778bRp5UttGlA,4.0,1.0,1,1,0,0,1,1,1,0,0,0,0,1,0,1,1,0,1,1,0.33,1,0,1,0.33,1,1,0,0,0.5
n4iXrGYnpfTeR2_y006xPw,4.5,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.33,0,0,1,0.5,0,0,1,0,0.0
KPmFv_Ou6ddauV_gYauWzg,4.5,0.0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0.33,0,0,0,0.0,0,0,1,0,0.0
W6WPIjkrt6M2hqpxf9PRIA,1.5,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0.67,1,1,0,0.33,0,0,1,0,0.0
0wjMBvxWO1Khm17ZseSL5Q,4.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,1,0,0.5,0,0,1,0,0.0
uHGbpIMDNK_Sm8kui7uZOw,4.0,0.5,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,1,0.33,1,1,1,0.0,0,0,1,1,1.0
paN9whOcxhHpGwE6oAI1sg,3.5,0.0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0.0,0,1,1,0.0,0,1,1,1,1.0
bmkzU6nQ99thgBLX4MdMJQ,3.5,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.33,1,0,0,0.33,0,1,1,0,0.0
FHGI7dx-HAo2OTcy-5Ja6Q,3.5,1.0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0.67,1,0,1,0.33,1,0,1,0,1.0
6r9FNW0-4aKqbPCX7UxTZg,3.5,1.0,0,1,1,1,1,1,0,0,1,0,0,1,0,0,1,1,0,1,0.33,1,1,1,0.33,1,0,1,1,1.0
VKUafN1s-sxXhBmjvjdh7w,2.0,0.0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0.33,0,1,1,0.33,0,0,1,0,0.0
EyBlARgBUFBu6ZYS9wENyg,4.0,0.0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0.33,0,1,0,0.33,0,0,1,0,0.0
LM-GRIDsDrH9jx6-rYXIoQ,2.0,0.0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0.67,0,0,1,0.0,0,0,1,0,0.0
jg1YxrBaK9cB4OT1Zx49Hg,3.5,0.5,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0.33,1,0,1,0.33,1,0,1,1,0.0
hPxeshyaUwDYOz-V7tWDQA,4.5,0.0,0,1,0,0,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0.33,1,1,1,0.0,0,1,1,1,0.0
15BlJKQfD-SLJTebWa14EQ,4.0,1.0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.33,0,0,1,0.67,1,0,1,0,0.0
MU8ekK-1u9IGVGAbHRdoMg,4.5,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,1,0,0.5,0,0,1,0,0.0
uLg0FaTWN2mr3_rrcnoqTw,3.5,1.0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,0.33,0,1,1,0.33,0,0,1,0,0.0
TImtXJJpEJrtC14xVjAFNQ,3.5,0.5,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,1,0.33,0,1,1,0.33,0,0,1,1,1.0
tr366vgAkbcpJBVKSdBxZg,3.5,0.0,1,0,0,0,1,1,1,0,1,0,1,1,0,0,1,1,0,1,0.33,0,1,1,0.0,0,0,1,1,0.0
gsXBNWHWhHv_f9NcwpVajw,4.5,0.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.33,1,0,0,0.0,0,0,0,0,1.0
E1R-xslwl7XeTN5lQ7mWPg,4.5,0.5,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0.33,1,1,0,0.33,0,1,1,1,0.0
IbiG8dVoWZhMBRYVgCCDdQ,5.0,0.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0.5,0,0,1,1,1.0
waPnDEqaTJ7wigQQaUcSqg,4.0,0.0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0.33,0,1,1,0.33,0,0,1,0,0.0
4SN5pmG-Qsb-0OHY-23FGg,3.5,1.0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0.33,1,0,1,0.33,1,1,1,1,1.0
DG1nOJjij4IEzbM6B7i4dQ,3.5,0.0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.33,0,1,0,0.0,0,0,1,0,0.0
qmxmUc4xzNt3ogaZLH8Eiw,5.0,1.0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0.33,1,0,1,0.33,1,1,1,1,1.0
J6JQPb57h7jOVCWGuR7WcA,4.0,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0.33,0,1,0,0.33,0,0,1,0,0.0
_Q_X1rrRm6pXem7mscS3KA,4.5,0.0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0.33,0,0,1,0.0,0,0,1,0,0.0
oQQvx1YhCshwTK2k5QEtxA,4.5,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.33,0,0,1,0.0,0,1,1,0,0.0
YjLMWlHoBJHtYMLdFXfvVg,4.0,0.0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,1,1,0,1,0.33,1,1,1,0.0,0,1,1,0,1.0
4UVsJ0CX20rmeC6CfC0reA,2.0,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0.33,0,1,0,0.0,0,0,1,0,0.5
4i1to26tzHGWDpquEeazwg,4.0,0.5,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0.33,0,1,0,0.5,0,0,1,0,0.0
L4kfcADLCU4T33i7Z0CkuA,4.0,1.0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0.33,1,1,1,0.33,1,1,1,1,1.0
IWHdx0NhDKADkGOgXgOFKQ,4.0,0.0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,1,0.67,0,1,0,0.33,0,0,1,0,0.0
UzU1N9XSoAUwn4Z8BIcvKw,4.0,1.0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,1,1,1,1,0.33,1,1,1,0.33,1,0,1,0,1.0
6sxjd6m1nwhqdN2xyRdOtA,5.0,0.0,1,0,0,0,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0.33,0,0,0,0.0,0,0,1,0,1.0
Wyy8UIqOlvvaHBQxodo1xw,3.0,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.33,0,1,1,0.0,0,0,1,0,0.0
U588hFqWbd1T9EJ6Nplv2g,3.5,1.0,1,0,0,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,0.67,1,1,1,0.33,1,1,1,1,1.0
2N97axWHko3rzyzOGCxxBA,4.0,1.0,1,0,0,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,0.33,1,1,1,0.33,1,1,1,1,0.0
PQ0QbT5I6V8JvOm0NRFlFw,4.0,0.0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0.33,1,0,1,0.0,1,0,1,0,1.0
E7irVK3DoLDXXeFSLa4fbQ,4.0,0.5,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0.0,0,1,1,0.0,0,1,1,0,1.0
Q3TBG3MquVltOG-orR8QYg,4.0,0.5,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0.0,1,0,1,0.67,1,0,1,0,1.0
IUN-1btz9-CiL2b6tDNQqg,3.5,1.0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,1,1,1,0.33,1,1,1,0.33,1,1,1,1,1.0
N5tS8v0Yz4mmbFHMsxpr3g,2.5,0.0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0.33,0,1,0,0.0,0,0,1,1,0.0
il_Ro8jwPlHresjw9EGmBg,2.5,0.0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0.33,0,1,1,0.0,0,0,1,0,0.0
6o3Xj4Lxa2XcaHuCblCc3g,4.5,1.0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,1,1,0.33,1,0,1,0.33,1,1,1,1,1.0
